"Address A","Address B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"47.88.251.178","192.168.119.140",30,10155,13,8650,17,1505,132.264364428,9.099926003000007,7604.457440333754,1323.0876818152947
"47.91.64.21","192.168.119.140",188,85474,92,75573,96,9901,133.594909177,33.954518707000005,17805.700773351266,2332.7675672125083
"52.208.25.37","192.168.119.140",30,7741,13,5314,17,2427,134.194845807,15.614520094999989,2722.5940817491405,1243.4580045926166
"13.227.219.82","192.168.119.140",32,9314,15,7132,17,2182,134.292804246,15.507254867,3679.3101351172886,1125.6666734192265
"67.220.240.183","192.168.119.140",29,10147,14,7070,15,3077,136.93959234,9.616437211000004,5881.596141999702,2559.783780612883
"172.217.168.226","192.168.119.140",46,12547,21,9551,25,2996,138.214208581,11.579177162999997,6598.741769333443,2069.9225568969737
"142.250.179.194","192.168.119.140",21,9175,9,7959,12,1216,139.105380088,3.8894909770000083,16370.265511995263,2501.098487572087
"52.222.139.5","192.168.119.140",32,9421,15,7251,17,2170,140.811068574,9.142639332000016,6344.776151998806,1898.7952351175577
"141.226.228.48","192.168.119.140",62,14075,28,10199,34,3876,141.278366533,8.676637744000004,9403.642563782476,3573.7345403687495
"151.101.1.69","192.168.119.140",23,7168,11,5962,12,1206,144.783157716,4.324784265999995,11028.526989188797,2230.862722066704
"142.250.179.164","192.168.119.140",20,6672,9,5552,11,1120,144.962728264,3.0089885440000046,14761.106381932417,2977.7448032716693
"151.101.65.69","192.168.119.140",96,67259,62,63918,34,3341,144.963723173,4.835716036000008,105743.18181490489,5527.206271216202
"80.67.93.247","192.168.119.140",147,94998,74,89184,73,5814,147.003098364,20.532804603999978,34747.90773886823,2265.2531350217514
"104.18.12.76","192.168.119.140",69,47858,40,45306,29,2552,147.072768189,2.415141816000016,150073.1748333894,8453.333822778655
"65.9.78.68","192.168.119.140",85,58233,51,54873,34,3360,148.580342795,18.957092797,23156.71525696546,1417.938936515298
"47.246.48.251","192.168.119.140",176,87625,88,79968,88,7657,149.188731744,90.890165102,7038.649333314092,673.95630683756
"52.54.211.78","192.168.119.140",31,9858,13,7445,18,2413,150.252706163,17.35074487099999,3432.7056528592325,1112.5747132772772
"34.202.126.101","192.168.119.140",31,9160,13,6872,18,2288,150.444084722,17.16542316099998,3202.7174328510614,1066.3296691448236
"34.120.133.55","192.168.119.140",38,10805,17,8388,21,2417,150.475575084,17.04835533299999,3936.0981566420546,1134.185651478761
"47.88.251.189","192.168.119.140",267,91183,116,74423,151,16760,150.558802637,89.68468932399998,6638.63591977313,1495.0154927293668
"47.74.138.66","192.168.119.140",215,80396,97,69970,118,10426,150.872623951,77.89708503699998,7185.891484053892,1070.7460999392008
"47.88.128.4","192.168.119.140",25,9732,11,8521,14,1211,150.966189713,5.0221845689999896,13573.376100268159,1929.0410113161295
"192.168.119.140","216.239.34.36",74,19694,41,5877,33,13817,151.128077363,61.38853229100002,765.8759420591795,1800.596884708471
"35.168.73.109","192.168.119.140",35,7947,15,5050,20,2897,151.967143235,15.642080843000002,2582.7765759233644,1481.6443050396012
"47.246.48.252","192.168.119.140",534,259696,261,234775,273,24921,152.269632158,87.81035938899998,21389.275856161483,2270.4382647701
"54.192.85.4","192.168.119.140",38,12366,18,10097,20,2269,152.422713387,15.115740656000014,5343.833414337982,1200.8673880492108
"178.250.2.130","192.168.119.140",72,49992,40,46976,32,3016,155.939688383,11.597646061999995,32403.816946211628,2080.422171103846
"59.82.33.225","192.168.119.140",36,10553,16,4892,20,5661,156.249539059,11.520941072999989,3396.944724569206,3930.9288809865648
"34.251.158.83","192.168.119.140",31,9849,13,6670,18,3179,156.555925259,10.994314562,4853.417618632622,2313.1955936481418
"104.16.48.182","192.168.119.140",63,15621,28,10594,35,5027,157.84880677,31.140677064999977,2721.5850131677303,1291.4298528595602
"3.220.55.122","192.168.119.140",35,12105,15,7029,20,5076,159.239783038,8.375560024999999,6713.819712610801,4848.392212435969
"2.16.42.31","192.168.119.140",226,82949,106,69866,120,13083,159.242678441,80.84797594699998,6913.320877277201,1294.5778638739534
"47.254.175.252","192.168.119.140",30,9408,13,7343,17,2065,160.192874349,7.3449695820000045,7997.854769060085,2249.158395493542
"178.250.2.146","192.168.119.140",40,14345,17,11533,23,2812,163.1725722,4.366201379000017,21131.41195084571,5152.304726071113
"104.16.49.182","192.168.119.140",65,39058,33,35760,32,3298,164.002787605,3.534299857999997,80943.8959607372,7465.12776505904
"13.227.219.40","192.168.119.140",109,52052,54,46360,55,5692,166.723272348,22.265055950999994,16657.49238700398,2045.1778832361226
"13.227.219.37","192.168.119.140",48,26797,23,24045,25,2752,167.176813404,18.35442387399999,10480.307163031583,1199.4928389545817
"13.227.219.2","192.168.119.140",46,26532,22,23846,24,2686,167.277424712,18.12827736,10523.22822580645,1185.330496289362
"52.222.139.28","192.168.119.140",26,9560,12,7277,14,2283,168.344599521,20.080869637000006,2899.077632212407,909.5223628337125
"172.217.168.194","192.168.119.140",36,11064,16,8394,20,2670,169.749356462,19.425930951999987,3456.8227471788887,1099.5612026408903
"47.246.165.120","192.168.119.140",87,20249,37,13954,50,6295,170.164023407,91.97553275000001,1213.7140896310816,547.5369208992159
"192.168.119.140","207.241.224.2",281,158315,146,14229,135,144086,170.183168031,18.94132857599999,6009.715714674484,60855.71006146516
"142.250.179.132","192.168.119.140",99,33622,47,25563,52,8059,171.174250055,80.190181609,2550.2373968566726,803.9887016886877
"192.168.119.140","207.241.225.102",33,9518,18,2339,15,7179,172.0516007,17.07865572,1095.6365832755366,3362.7939424262836
"104.16.45.182","192.168.119.140",26,5827,12,4483,14,1344,172.175314231,11.977652367000019,2994.2428533666543,897.671736543561
"192.168.119.140","207.241.239.241",74,20888,44,5704,30,15184,173.014773909,16.305856773999977,2798.5036684954302,7449.593215714343
"142.251.36.2","192.168.119.140",38,11666,17,9113,21,2553,173.016282887,16.152581060000017,4513.458234890909,1264.441882330351
"52.46.153.177","192.168.119.140",29,10805,14,7070,15,3735,174.39544142,13.480000581000013,4195.8455164846955,2216.6171151443195
"104.16.47.182","192.168.119.140",36,9175,16,5563,20,3612,176.425248554,12.755724870999984,3488.943235298169,2265.3357839110167
"52.222.139.41","192.168.119.140",28,8112,13,6586,15,1526,176.48539131,7.6732449439999755,6866.456158316555,1590.982705373681
"192.168.119.140","204.79.197.200",113,39678,58,6882,55,32796,178.610327291,33.91965232300001,1623.1298444845202,7734.984943288917
"142.251.39.109","192.168.119.140",36,9668,15,7075,21,2593,181.261333501,7.902063865000002,7162.6857194478,2625.1369710993845
"142.251.39.104","192.168.119.140",155,122323,98,116547,57,5776,183.901061901,28.622158565000007,32575.320896311994,1614.4135284228514
"104.73.152.39","192.168.119.140",40,11696,18,9370,22,2326,184.635670563,3.6482799580000176,20546.66880364438,5100.485767051957
"52.86.105.134","192.168.119.140",59,14047,25,9254,34,4793,185.746010297,76.31712601800001,970.0574938125809,502.42982146571217
"96.17.178.178","192.168.119.140",70,20259,33,15992,37,4267,185.754206861,26.774753521000008,4778.232595107069,1274.9323713933131
"3.215.128.62","192.168.119.140",33,11973,13,6897,20,5076,188.964238095,23.62984743199999,2335.012960146311,1718.504536132039
"13.227.219.93","192.168.119.140",34,10587,16,8349,18,2238,189.009949931,23.524970787,2839.195874237155,761.0636443337828
"192.168.119.140","216.239.34.178",39,9767,23,2888,16,6879,189.460127314,32.39287180299999,713.2433376240594,1698.8922851509367
"52.46.144.253","192.168.119.140",29,10146,14,7070,15,3076,189.671626429,20.853277237999976,2712.283510859065,1180.0543252337318
"142.250.27.155","192.168.119.140",69,12912,32,8444,37,4468,191.580131642,20.944017013000007,3225.360252432487,1706.6449085585446
"142.250.27.157","192.168.119.140",20,6954,8,5735,12,1219,191.793492913,1.158834349000017,39591.508518530565,8415.352900451397
"192.29.153.203","192.168.119.140",27,8898,13,5976,14,2922,192.001247602,18.721888933999992,2553.5884850367856,1248.5919600531272
"192.168.119.140","216.58.214.2",36,10812,20,2692,16,8120,195.916789284,16.607462965999986,1296.7664021946082,3911.4944969614485
"13.227.219.39","192.168.119.140",276,203699,149,194060,127,9639,195.952411509,25.906365232000013,59926.58507270439,2976.5657709770053
"66.254.114.41","192.168.119.140",110,70877,62,64890,48,5987,197.202253176,15.32180990500001,33881.114778130366,3126.0014513278857
