"Address A","Address B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"151.101.193.69","192.168.119.140",138,89930,76,65476,62,24454,143.816080792,10.926442124999994,47939.48423535903,17904.455792832025
"47.254.175.252","192.168.119.140",30,9298,13,7340,17,1958,144.203345878,10.537604325000018,5572.424071825253,1486.485876380633
"13.227.219.40","192.168.119.140",34,9415,16,7301,18,2114,148.676344712,6.069518528000003,9623.168580926353,2786.3824654264226
"23.48.228.59","192.168.119.140",31,7739,15,5761,16,1978,153.529007904,58.95067812400001,781.806104130915,268.4277857960336
"47.91.64.6","192.168.119.140",68,22691,30,18964,38,3727,155.459284465,59.385074720000006,2554.715990765701,502.07901801222147
"104.16.48.182","192.168.119.140",105,46568,56,41809,49,4759,156.940860169,60.41606078000001,5536.143794908304,630.1635609550245
"52.222.139.41","192.168.119.140",115,35759,53,29504,62,6255,160.574248502,66.767124991,3535.152966850323,749.4706415282257
"192.168.119.140","207.241.224.2",356,239071,169,14651,187,224420,170.383507635,67.26684923299999,1742.4333283994476,26690.115866453078
"192.168.119.140","207.241.225.102",37,9418,20,2295,17,7123,173.486011663,63.56527596199999,288.8369431602217,896.4642902528363
"66.254.114.41","192.168.119.140",83,62548,50,58973,33,3575,197.448355997,7.815302290999995,60366.69887271035,3659.487366590465
"192.168.119.140","205.185.208.142",110,61172,48,4812,62,56360,198.968354392,58.93519192300002,653.1920698637205,7650.437459999851
"66.254.114.181","192.168.119.140",19,5999,8,4863,11,1136,199.05482343,15.358533921000003,2533.0542745884004,591.7231453696119
"64.210.135.115","192.168.119.140",19,4822,8,3541,11,1281,199.295994963,35.086722148999996,807.3709444758542,292.07630044438554
"64.210.135.117","192.168.119.140",57,29923,27,26963,30,2960,199.29693231,37.76834484400001,5711.237833983804,626.98008339547
"151.101.2.114","192.168.119.140",293,197661,160,185513,133,12148,210.331186078,9.528934340999996,155747.1115751495,10198.831949323854
"8.238.16.122","192.168.119.140",62,25673,28,21976,34,3697,212.109472218,5.64845541699998,31124.969043904668,5236.1217034635765
"13.227.219.121","192.168.119.140",31,9663,15,7712,16,1951,212.26887927,0.8008118899999772,77041.8131529013,19490.220106497723
"151.139.128.11","192.168.119.140",32,7935,15,5938,17,1997,212.429715181,1.6584463220000032,28643.676536188737,9633.112502992406
"167.40.79.16","192.168.119.140",33,15945,16,13121,17,2824,224.114812579,1.683085822999999,62366.39781856214,13422.963755782293
"151.101.129.21","192.168.119.140",117,66789,59,58291,58,8498,237.007673462,10.766720986999985,43311.97962342076,6314.271548606639
"142.251.36.3","192.168.119.140",157,89437,84,75972,73,13465,242.41954688,4.733898116999995,128388.06095496722,22755.031337316825
"13.227.219.74","192.168.119.140",25,7933,12,6536,13,1397,251.372370952,0.216176919999981,241875.95974632533,51698.39592497193
"52.222.139.123","192.168.119.140",59,19785,29,16104,30,3681,253.746602229,1.2484558419999985,103193.07713247911,23587.53830878388
"13.227.219.102","192.168.119.140",29,9437,14,7617,15,1820,256.85979234,0.7785822879999955,78265.33038213727,18700.656596493347
"13.227.219.23","192.168.119.140",29,9380,14,7302,15,2078,257.048395,1.4132968719999894,41333.14178876951,11762.567602994117

