"Address A","Address B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"142.251.36.13","192.168.119.140",191,111729,106,103392,85,8337,58.701837139,149.05334117200002,5549.261717290368,447.4639714586216
"142.251.36.33","192.168.119.140",41,14265,18,11790,23,2475,64.27202776,37.079914973,2543.6951532569524,533.9818069814213
"142.251.36.35","192.168.119.140",24,7173,10,5702,14,1471,258.438911931,2.3377968510000073,19512.388332838873,5033.799234936159
"142.251.36.54","192.168.119.140",24,7579,10,6112,14,1467,64.274462021,3.6507813829999947,13393.297179526038,3214.6542804916066
"151.101.1.21","192.168.119.140",121,68164,63,58158,58,10006,245.802633271,20.397290715999986,22810.088186615827,3924.442766176244
"151.101.1.32","192.168.119.140",47,9709,23,6987,24,2722,14.366888103,233.335631052,239.55192675885536,93.32479528232493
"151.101.2.114","192.168.119.140",467,322594,261,303715,206,18879,218.968334919,12.873710233999986,188735.0232245411,11731.816023100972
"151.101.2.133","192.168.119.140",3385,3756003,2716,3704300,669,51703,248.334143351,14.453836971000015,2050279.1099317132,28616.8995007962
"151.101.2.137","192.168.119.140",57,10706,28,7222,29,3484,14.78477882,249.404329996,231.6559620313193,111.7542746769754
"151.101.65.69","192.168.119.140",98,67274,63,64010,35,3264,151.912729203,13.948460382000007,36712.29554917911,1872.034567606946
"151.101.193.35","192.168.119.140",35,12589,17,6943,18,5646,250.853601027,3.793425877000004,14642.173539430394,11906.915138070575
"151.139.128.11","192.168.119.140",30,7775,14,5851,16,1924,221.717556385,1.3087112759999968,35766.483301852524,11761.188493037816
"156.146.33.9","192.168.119.140",149,85200,84,78923,65,6277,89.653610726,76.218415815,8283.877239491796,658.8433971375898
"162.219.225.118","192.168.119.140",404,278754,221,260590,183,18164,13.819171829,87.529098468,23817.450841929538,1660.1564798833729
"167.40.79.16","192.168.119.140",33,15929,16,13121,17,2808,232.256299256,2.102490200999995,49925.55967684163,10684.473102093689
"172.64.146.158","192.168.119.140",80,17488,35,12448,45,5040,91.006699137,74.855782216,1330.344791704207,538.6357447131429
"172.64.147.134","192.168.119.140",312,201901,169,180199,143,21702,41.285232015,60.069351386,23998.79417269658,2890.2592752227324
"172.65.10.226","192.168.119.140",37,9941,17,8067,20,1874,191.802235854,15.978272524000005,4038.984809093996,938.2741455611936
"172.217.168.214","192.168.119.140",94,75709,58,71932,36,3777,64.273286193,37.07961554699999,15519.470509897414,814.8951803909599
